GEO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CZ0,10278098,10232027,10201182,10192649,10195347,10198855,10223577,10254233,10343422,10425783,10462088,10486731,10505445,10516125,10512419,10538275,10553843,10578820,10610055
CZ01,1186855,1170476,1157876,1157443,1158738,1161334,1169892,1173933,1195521,1214300,1227932,1234037,1241664,1246780,1243201,1259079,1267449,1280508,1294513
CZ010,1186855,1170476,1157876,1157443,1158738,1161334,1169892,1173933,1195521,1214300,1227932,1234037,1241664,1246780,1243201,1259079,1267449,1280508,1294513
CZ02,1111354,1121591,1123895,1128603,1135690,1143925,1157881,1174964,1201524,1230405,1247330,1264986,1279345,1291816,1302336,1315299,1326876,1338982,1352795
CZ020,1111354,1121591,1123895,1128603,1135690,1143925,1157881,1174964,1201524,1230405,1247330,1264986,1279345,1291816,1302336,1315299,1326876,1338982,1352795
CZ03,1177982,1176097,1173715,1173537,1174257,1173457,1176931,1181719,1191156,1202477,1205834,1207027,1207847,1209298,1210176,1212423,1214450,1217411,1221012
CZ031,0,625293,624223,624394,624488,624302,626000,627899,630870,633679,634814,635771,636138,636611,636707,637300,637834,638782,640196
CZ032,0,550804,549492,549143,549769,549155,550931,553820,560286,568798,571020,571256,571709,572687,573469,575123,576616,578629,580816
CZ04,1131974,1124813,1122089,1121734,1121756,1122142,1121590,1120755,1130335,1134887,1133425,1132252,1131191,1128490,1125429,1123265,1120654,1118126,1116766
CZ041,0,304433,303371,303521,303179,303132,302418,302347,304823,305406,304305,303804,303165,301726,300309,299293,297828,296749,295686
CZ042,0,820380,818718,818213,818577,819010,819172,818408,825512,829481,829120,828448,828026,826764,825120,823972,822826,821377,821080
