"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2014","EL306","HAB_KM2","174.2",""
"2014","EL307","HAB_KM2","559.0",""
"2014","EL411","HAB_KM2","47.3",""
"2014","EL412","HAB_KM2","54.3",""
"2014","EL413","HAB_KM2","58.7",""
"2014","EL421","HAB_KM2","76.5",""
"2014","EL422","HAB_KM2","49.1",""
"2014","EL431","HAB_KM2","117.4",""
"2014","EL432","HAB_KM2","41.1",""
"2014","EL433","HAB_KM2","58.3",""
"2014","EL434","HAB_KM2","66.7",""
"2014","ES111","HAB_KM2","143.4",""
"2014","ES112","HAB_KM2","34.7",""
"2014","ES113","HAB_KM2","44.5",""
"2014","ES114","HAB_KM2","212.5",""
"2014","ES120","HAB_KM2","99.8",""
"2014","ES130","HAB_KM2","111.4",""
"2014","ES211","HAB_KM2","106.3",""
"2014","ES212","HAB_KM2","351.1",""
"2014","ES213","HAB_KM2","516.7",""
"2014","ES220","HAB_KM2","61.5",""
"2014","ES230","HAB_KM2","62.4",""
"2014","ES241","HAB_KM2","14.3",""
"2014","ES242","HAB_KM2","9.4",""
"2014","ES243","HAB_KM2","56.5",""
"2014","ES300","HAB_KM2","801.0",""
"2014","ES411","HAB_KM2","20.8",""
"2014","ES412","HAB_KM2","25.5",""
"2014","ES413","HAB_KM2","31.1",""
"2014","ES414","HAB_KM2","20.8",""
"2014","ES415","HAB_KM2","28.0",""
"2014","ES416","HAB_KM2","22.9",""
"2014","ES417","HAB_KM2","9.0",""
"2014","ES418","HAB_KM2","65.3",""
"2014","ES419","HAB_KM2","17.8",""
"2014","ES421","HAB_KM2","26.6",""
"2014","ES422","HAB_KM2","26.2",""
"2014","ES423","HAB_KM2","12.2",""
"2014","ES424","HAB_KM2","21.1",""
"2014","ES425","HAB_KM2","45.4",""
"2014","ES431","HAB_KM2","32.3",""
"2014","ES432","HAB_KM2","20.8",""
"2014","ES511","HAB_KM2","705.7",""
